x,y,z,sx,sy,sz
717467.83,1606381.25,3.55,0.0746,0.0392,0.5005
717453.29,1606382.16,5.85,0.0513,0.0335,0.2533
717093.73,1605731.83,0.17,0.0715,0.0763,0.2975
717781.92,1606240.63,20.62,0.0298,0.0201,0.2363
717149.80,1605773.67,0.58,0.1325,0.3185,1.0666
717550.58,1606233.87,4.53,0.3142,0.3218,1.1867
717886.97,1606118.52,18.07,0.2277,0.0538,0.6692
717399.11,1605930.95,11.39,0.0228,0.0346,0.2698
717518.24,1605990.63,12.61,0.2163,0.0580,0.6362
717503.33,1605980.08,13.61,0.1625,0.0282,0.3830
717522.92,1605921.47,8.48,0.1484,0.4422,1.2767
717159.47,1605784.65,-0.64,0.0505,0.0276,0.3535
717541.42,1605996.81,12.19,0.0897,0.0495,0.4313
717070.95,1605722.33,-0.31,0.1690,0.1483,0.4766
717626.37,1605577.83,8.21,0.2772,0.0728,0.7889
717108.94,1605737.39,-0.23,0.0485,0.0693,0.3000
717097.75,1605865.98,-0.55,0.0295,0.0310,0.1118
717144.30,1605768.18,1.55,0.1431,0.1537,1.6887
717145.65,1605810.26,0.60,0.0728,0.1554,0.8372
717518.76,1606404.56,9.88,0.2555,0.0721,0.7114
717804.48,1606283.50,24.93,0.0870,0.0991,0.3385
717422.97,1605944.58,2.55,0.0525,0.1082,0.5197
717334.97,1605831.62,12.33,0.0182,0.0298,0.1512
717391.07,1605807.79,11.74,0.1148,0.0276,0.2806
717517.61,1605936.45,12.87,0.2294,0.1701,0.6545
717474.43,1605912.51,3.72,0.0570,0.0356,0.1727
717430.54,1606365.99,6.05,0.0459,0.0761,0.2714
717641.35,1605591.87,10.44,0.1632,0.0636,0.5936
717647.66,1605597.92,15.32,0.1259,0.0684,0.5046
717487.09,1605985.53,2.38,0.1784,0.0256,0.3657
717554.86,1606011.96,6.89,0.1509,0.2108,1.0996
717790.67,1605658.74,1.97,0.1592,0.0446,0.5819
717474.71,1606417.61,15.25,0.0711,0.0630,0.2550
717701.01,1605675.79,1.30,0.0390,0.0343,0.1701
717324.56,1605771.09,13.95,0.0397,0.0206,0.1949
717774.64,1605702.24,15.16,0.0658,0.0386,0.2869
717195.17,1605660.56,1.25,0.0323,0.0222,0.1073
717647.38,1605738.46,15.48,0.0333,0.1013,0.3088
717395.63,1606344.91,14.80,0.0355,0.0250,0.1284
717510.95,1605986.97,12.50,0.4014,0.0827,1.0567
717863.51,1605948.85,16.83,0.0389,0.0218,0.1198
717809.10,1605700.53,17.42,0.1464,0.1070,0.6313
717416.29,1606352.55,17.65,0.0198,0.0753,0.2688
717420.35,1606353.66,20.81,0.0256,0.0900,0.3318
717394.05,1606385.59,14.91,0.0499,0.0336,0.3336
717430.18,1606448.99,5.58,0.0602,0.1496,0.5348
717634.68,1605599.49,15.44,0.1035,0.0556,0.2717
717082.25,1605858.58,-0.78,0.0274,0.0275,0.1051
717711.12,1605698.63,2.79,0.0273,0.0663,0.2567
717110.16,1605863.54,-0.57,0.0663,0.0660,0.2362
717695.47,1605661.48,10.98,0.0398,0.0683,0.2551
717037.96,1605838.72,-0.60,0.0897,0.0346,0.2462
717427.66,1606439.15,6.49,0.0872,0.2084,0.8794
717703.54,1605622.09,7.60,0.0466,0.0457,0.3837
717669.94,1605629.03,17.62,0.1277,0.0614,0.4651
717049.69,1605810.53,-0.54,0.0572,0.0343,0.1876
717725.67,1605580.51,1.04,0.0341,0.0582,0.2294
717665.24,1605606.36,6.41,0.2652,0.1297,0.9662
717412.08,1606435.28,7.08,0.0800,0.2379,1.1127
717714.32,1605672.03,10.00,0.0335,0.0997,0.3261
717376.88,1606370.23,17.28,0.0598,0.0457,0.2472
717431.38,1606366.03,6.28,0.0306,0.0529,0.2876
717664.88,1605601.63,12.77,0.2982,0.1667,1.0489
717700.90,1605625.10,9.91,0.0354,0.0396,0.2663
717652.59,1605625.02,7.13,0.1818,0.0605,0.5373
717930.28,1605985.60,6.35,0.0170,0.0240,0.0860
717680.49,1605650.17,17.16,0.0599,0.0619,0.2659
717666.08,1605580.06,14.30,0.0892,0.0860,0.3109
717378.63,1605579.31,0.12,0.0938,0.0192,0.2609
717665.13,1605589.50,9.92,0.0832,0.0656,0.2835
717357.61,1605803.39,1.62,0.0347,0.0532,0.2850
717699.26,1605639.34,0.34,0.0761,0.2526,0.6899
717728.87,1605636.19,1.63,0.0330,0.0368,0.2375
717693.32,1605726.69,2.41,0.0274,0.0183,0.1125
717709.25,1605645.82,15.13,0.0377,0.0924,0.4165
716894.85,1606073.21,-0.24,0.0538,0.0318,0.1368
717713.89,1606365.74,13.10,0.0437,0.1535,0.5859
717338.00,1606204.05,0.54,0.0214,0.0250,0.1427
717628.83,1606233.18,5.80,0.0211,0.0164,0.1022
717462.51,1605619.15,1.25,0.0186,0.0188,0.1129
717243.12,1605665.91,0.94,0.0087,0.0088,0.0356
717234.86,1606300.17,0.66,0.1855,0.2211,0.7331
717613.32,1606205.97,17.65,0.0691,0.0539,0.4702
717703.80,1606215.19,12.93,0.1375,0.0264,0.3412
717695.61,1605642.02,0.52,0.0621,0.1295,0.7286
717693.46,1606213.68,4.99,0.2412,0.0554,0.7270
717695.42,1606235.80,12.40,0.3177,0.1267,0.9230
717590.61,1606279.99,17.35,0.0230,0.0220,0.2851
717324.71,1605773.86,13.63,0.0647,0.1113,0.2886
717528.22,1605956.35,14.23,0.0438,0.0368,0.2151
717669.59,1606205.03,4.49,0.0288,0.0186,0.1055
717710.14,1605770.24,3.71,0.1616,0.0302,0.3481
717382.30,1605734.36,1.43,0.0225,0.0477,0.1967
717668.32,1605571.83,8.74,0.1692,0.2064,0.8054
717741.12,1605652.32,9.83,0.0321,0.0429,0.2210
717739.34,1605675.98,16.77,0.0936,0.1124,0.5640
717731.47,1605653.45,1.77,0.1320,0.1777,0.7765
717766.88,1606324.38,18.00,0.1021,0.0257,0.3000
717737.50,1605675.95,14.87,0.1304,0.2319,0.6121
717551.69,1605989.45,4.14,0.0433,0.0420,0.1853
717571.45,1606253.24,19.36,0.0366,0.0468,0.2298
717651.36,1605591.27,11.58,0.1815,0.0937,0.5855
717476.74,1605941.57,3.57,0.0433,0.0323,0.1774
717664.17,1605762.56,3.54,0.1393,0.0509,0.5400
717685.25,1605698.96,1.70,0.0323,0.0512,0.1799
717807.19,1606152.91,20.09,0.0317,0.0511,0.2035
717606.52,1606309.93,16.85,0.0304,0.0557,0.3082
717094.70,1605821.31,-0.50,0.0282,0.0290,0.1969
717875.92,1605693.60,17.20,0.0720,0.0367,0.2395
717196.62,1605656.20,0.93,0.0168,0.0124,0.0591
717547.69,1605983.26,4.55,0.0294,0.0259,0.1324
717319.78,1605978.43,1.84,0.0118,0.0119,0.0462
717900.08,1606125.81,18.13,0.0969,0.0255,0.2251
717642.08,1605582.27,13.15,0.1284,0.0742,0.3471
717192.13,1605658.34,0.97,0.0173,0.0117,0.0573
717433.92,1605960.33,3.31,0.0717,0.0604,0.4797
717691.24,1605679.05,1.42,0.0844,0.0641,0.2546
717775.39,1606236.75,17.76,0.0894,0.0719,0.9551
717465.08,1605699.48,11.22,0.0707,0.0290,0.3362
717636.81,1605787.65,13.35,0.0191,0.0404,0.1941
717658.15,1605752.45,3.84,0.0363,0.0207,0.2307
717462.14,1605956.33,7.59,0.2743,0.1012,0.8496
717566.99,1606161.13,8.10,0.0433,0.0273,0.1924
717615.78,1606182.32,5.81,0.0197,0.0369,0.1559
717689.63,1605690.95,1.94,0.0432,0.0897,0.2709
717672.95,1605565.07,10.18,0.0741,0.2970,0.7067
717713.06,1605664.66,13.92,0.0522,0.1705,0.6951
717387.55,1605797.78,12.73,0.0256,0.0394,0.1717
717703.27,1605649.77,2.80,0.0443,0.0450,0.4484
717676.50,1605684.59,1.78,0.0246,0.0441,0.1247
717788.60,1605735.65,2.47,0.0854,0.0484,0.3477
717702.12,1605626.68,4.22,0.0314,0.1430,0.3232
717369.28,1606371.41,12.57,0.2076,0.1324,0.7538
717321.99,1606493.20,15.37,0.1260,0.0294,0.2889
717636.52,1605758.40,8.59,0.0130,0.0145,0.0606
717705.77,1605660.31,5.97,0.2008,0.3041,1.8342
717439.14,1606366.42,16.23,0.0432,0.0562,0.2714
717686.14,1605698.54,1.50,0.0539,0.0262,0.1640
717766.72,1605699.49,8.58,0.0160,0.0143,0.0818
717348.87,1605893.08,13.69,0.1374,0.0237,0.3270
717756.64,1605684.52,1.28,0.0223,0.0444,0.2423
717685.37,1605636.79,18.97,0.0343,0.0357,0.4914
717033.41,1605829.56,-3.30,0.3376,0.1165,0.8791
717658.10,1605789.85,13.08,0.0242,0.0209,0.1301
717165.61,1605837.18,-0.40,0.0567,0.0216,0.1616
717058.76,1605768.08,0.04,0.0877,0.0918,0.3160
717559.24,1605775.00,2.78,0.0299,0.0181,0.0836
717104.58,1605792.88,-0.92,0.0234,0.0523,0.3113
717737.36,1605688.87,13.30,0.0938,0.1020,0.3244
717474.75,1605976.31,10.38,0.3828,0.1193,1.4660
717573.10,1605772.26,5.32,0.0393,0.0399,0.3168
717119.90,1605822.42,1.77,0.0479,0.0393,0.5548
717805.18,1606139.37,13.21,0.2089,0.2166,1.2973
717094.80,1605800.66,-1.41,0.0477,0.0615,0.4761
717509.26,1606567.32,13.59,0.0420,0.0437,0.2782
717628.76,1605787.09,4.16,0.0468,0.0359,0.1978
717038.87,1605816.00,-0.61,0.2817,0.0551,0.7434
717159.42,1605823.69,-0.67,0.2506,0.0605,0.8791
717069.06,1605785.05,0.05,0.0752,0.0704,0.3382
717673.99,1605567.29,3.79,0.0872,0.3222,0.8389
717139.05,1605986.97,0.51,0.0423,0.0274,0.1237
717575.72,1605787.45,15.83,0.0681,0.1988,0.8570
717606.13,1606197.42,19.38,0.0898,0.0668,0.4580
717067.77,1605784.02,-0.19,0.1708,0.0344,0.4606
717570.98,1605770.98,5.82,0.0490,0.0217,0.1305
717571.07,1605765.80,6.08,0.2240,0.0671,0.5967
717691.07,1605647.73,1.24,0.0699,0.1509,0.4674
717864.71,1606174.50,17.58,0.0644,0.0723,0.2293
717656.15,1605550.34,5.12,0.1207,0.0578,0.4678
717039.02,1605778.84,-0.76,0.6642,0.4204,1.7580
717736.46,1605605.06,2.55,0.0254,0.1068,0.3246
717458.40,1605890.18,10.63,0.0372,0.0682,0.1976
717151.00,1605843.99,-1.29,0.0872,0.0533,0.3686
717807.57,1606143.52,17.63,0.0281,0.0338,0.2147
717434.68,1606392.66,1.89,0.0709,0.0586,0.3758
717421.37,1606370.47,-5.40,0.0798,0.0933,0.3835
717675.51,1605519.41,0.54,0.0888,0.1356,0.5474
717633.79,1605561.36,13.09,0.5200,0.1057,1.3356
717788.66,1605695.83,23.54,0.0277,0.0240,0.1020
717638.56,1605512.49,1.33,0.1335,0.1102,0.3879
717402.85,1605915.25,13.65,0.0428,0.0564,0.3374
717663.65,1605565.20,16.24,0.1134,0.0717,0.5020
717800.48,1606149.65,20.36,0.0760,0.0885,0.4691
