GCP label, GCP measured X, GCP measured Y, GCP measured Z, GCP estimated X, GCP estimated Y, GCP estimated Z, GCP weight, GCP visible in # images
GCP-03, 717024.65300000004936009645, 1606151.52499999990686774254, -0.70299999999999995826, 717024.64028137119021266699, 1606151.52062114118598401546, -0.68711845882986022360, 0.99999967067457529168, 10
GCP-04, 717310.91399999998975545168, 1606333.89800000004470348358, 0.32900000000000001465, 717310.91608239710330963135, 1606333.90008634608238935471, 0.32782793729289450013, 0.99999984002599751065, 10
GCP-05, 717609.15300000004936009645, 1606432.60199999995529651642, 5.64299999999999979394, 717609.15961346100084483624, 1606432.60945953405462205410, 5.64880396522958960759, 0.99999980452266679087, 10
GCP-06, 717133.07099999999627470970, 1606132.55899999989196658134, -1.09800000000000008704, 717133.06869935686700046062, 1606132.55147225502878427505, -1.10195684427714990505, 0.99999982020788957815, 10
GCP-07, 717504.49199999996926635504, 1606286.26200000010430812836, 3.90099999999999980105, 717504.49334831826854497194, 1606286.27199345990084111691, 3.91744234227390908387, 0.99999968269742878224, 10
GCP-08, 717315.95799999998416751623, 1605940.26600000006146728992, 1.93500000000000005329, 717315.94647613435517996550, 1605940.26147086429409682751, 1.94814028007460304792, 0.99999972811355775093, 10
GCP-09, 717616.27800000004936009645, 1606070.65400000009685754776, 5.90299999999999958078, 717616.27722565596923232079, 1606070.66235591680742800236, 5.89705348866893519499, 0.99999981011636107642, 10
GCP-10, 717745.28300000005401670933, 1606169.40699999989010393620, 9.89899999999999913314, 717745.29020311916247010231, 1606169.41491730278357863426, 9.90339384235235975495, 0.99999980567137891629, 10
GCP-11, 717493.46200000005774199963, 1605857.20399999991059303284, 3.18699999999999983302, 717493.47593907790724188089, 1605857.20359057351015508175, 3.20049061844872495541, 0.99999971009115362630, 10
GCP-12, 717691.04500000004190951586, 1605967.68900000001303851604, 7.97900000000000009237, 717691.05979916499927639961, 1605967.69249368808232247829, 7.98825048480824850827, 0.99999974725309348500, 10
GCP-13, 717378.04500000004190951586, 1605705.04700000002048909664, 0.85299999999999998046, 717378.03871600935235619545, 1605705.04741075751371681690, 0.87129356606670871344, 0.99999967998617089737, 10
GCP-14, 717647.22400000004563480616, 1605821.90299999993294477463, 3.77000000000000001776, 717647.21135475393384695053, 1605821.91107158944942057133, 3.76437172045037993229, 0.99999976995312256367, 10
GCP-15, 717868.87600000004749745131, 1606008.48399999993853271008, 9.26399999999999934630, 717868.89258804835844784975, 1606008.47905606939457356930, 9.26369703747251094228, 0.99999976540297219607, 10
GCP-16, 717566.81099999998696148396, 1605642.50699999998323619366, 2.24800000000000022027, 717566.80295677634421736002, 1605642.52195584238506853580, 2.26133908085208856775, 0.99999964679991915073, 10
GCP-17, 717883.13100000005215406418, 1605742.65500000002793967724, 2.20199999999999995737, 717883.13129671057686209679, 1605742.65477675083093345165, 2.20689477751395513039, 0.99999983488163313172, 10
GCP-18, 717413.35100000002421438694, 1606197.65699999989010393620, 0.06500000000000000222, 717413.36777506838552653790, 1606197.65813000081107020378, 0.08437138909835217859, 0.99999952458533514221, 10
