EVENT,Lat_EOP,Lng_EOP,h_EOP
64,14.523749127,101.017967080,205.541
65,14.523588265,101.018056752,205.575
66,14.523430053,101.018145397,205.588
67,14.523271632,101.018233941,205.527
68,14.523108391,101.018326070,205.543
69,14.522950352,101.018414996,205.478
70,14.522785954,101.018506451,205.449
71,14.522621855,101.018598442,205.415
72,14.522464060,101.018687292,205.384
73,14.522300698,101.018778976,205.347
74,14.522136445,101.018871930,205.318
75,14.521981052,101.018959967,205.313
76,14.521816090,101.019052323,205.285
77,14.521651573,101.019145425,205.275
78,14.521495209,101.019232963,205.255
79,14.521337594,101.019321756,205.206
80,14.521174527,101.019413459,205.192
81,14.521017213,101.019502289,205.185
82,14.520852159,101.019595167,205.142
83,14.520692007,101.019685100,205.099
84,14.520530248,101.019776817,205.117
85,14.520374692,101.019864828,205.031
86,14.520211187,101.019956589,204.998
87,14.520047009,101.020049294,204.959
88,14.519890702,101.020138265,204.942
89,14.519725479,101.020230950,204.888
90,14.519567475,101.020318501,204.839
91,14.519399207,101.020413360,204.862
92,14.519247493,101.020499428,204.856
93,14.519082471,101.020592531,204.858
94,14.518925226,101.020680487,204.850
95,14.518760471,101.020773492,204.851
96,14.518604691,101.020861271,204.780
97,14.518438474,101.020955241,204.757
98,14.518275977,101.021046717,204.676
99,14.518121987,101.021133943,204.615
100,14.517962911,101.021223459,204.661
101,14.517797561,101.021316411,204.636
102,14.517641548,101.021405320,204.637
103,14.517475503,101.021498834,204.546
104,14.517320665,101.021585317,204.560
105,14.517151867,101.021680224,204.519
106,14.517000185,101.021765156,204.482
107,14.516831726,101.021858440,204.409
108,14.516666584,101.021951328,204.411
109,14.516515293,101.022038533,204.377
110,14.516345121,101.022135065,204.416
111,14.516194552,101.022220312,204.396
112,14.516029662,101.022313771,204.368
113,14.515879764,101.022397386,204.378
114,14.515831823,101.022421496,204.356
115,14.515831350,101.022413202,204.441
116,14.515766463,101.022223551,204.294
117,14.515678873,101.022054067,204.217
118,14.515589652,101.021881066,204.245
119,14.515509326,101.021727159,204.200
120,14.515498791,101.021706095,204.259
121,14.515513303,101.021711025,204.297
122,14.515695535,101.021634984,204.116
123,14.515858623,101.021542167,204.176
124,14.516024170,101.021447725,204.266
125,14.516183311,101.021359133,204.293
126,14.516351632,101.021265130,204.347
127,14.516503900,101.021180493,204.319
128,14.516669247,101.021087730,204.370
129,14.516825556,101.020999626,204.416
130,14.516989635,101.020906344,204.372
131,14.517153621,101.020813424,204.354
132,14.517307714,101.020726181,204.328
133,14.517474438,101.020632458,204.385
134,14.517631053,101.020545008,204.433
135,14.517796020,101.020452856,204.478
136,14.517960246,101.020360334,204.491
137,14.518117330,101.020272263,204.506
138,14.518281162,101.020180663,204.505
139,14.518436968,101.020093586,204.538
140,14.518603076,101.019999559,204.545
141,14.518767295,101.019907072,204.556
142,14.518923348,101.019818664,204.626
143,14.519086615,101.019726381,204.613
144,14.519244044,101.019637766,204.572
145,14.519410761,101.019543542,204.595
146,14.519571856,101.019452883,204.622
147,14.519728255,101.019364960,204.652
148,14.519888080,101.019275429,204.680
149,14.520053637,101.019182308,204.686
150,14.520210969,101.019093794,204.714
151,14.520376511,101.019000751,204.715
152,14.520531038,101.018913841,204.698
153,14.520694966,101.018821293,204.742
154,14.520859265,101.018728722,204.743
155,14.521015045,101.018640533,204.777
156,14.521179181,101.018547297,204.782
157,14.521338456,101.018458329,204.815
158,14.521504453,101.018366330,204.822
159,14.521661547,101.018278223,204.861
160,14.521823141,101.018187403,204.825
161,14.521985128,101.018096326,204.834
162,14.522147970,101.018004731,204.920
163,14.522303122,101.017917063,204.875
164,14.522466975,101.017823455,204.897
165,14.522629791,101.017730855,204.928
166,14.522785722,101.017642060,205.004
167,14.522951214,101.017549291,205.140
168,14.523109456,101.017460964,205.155
169,14.523273787,101.017367611,205.086
170,14.523437677,101.017275057,205.123
171,14.523593981,101.017187531,205.144
172,14.523747250,101.017103954,205.354
173,14.523771697,101.017090640,205.308
174,14.523761717,101.017086461,205.182
175,14.523647796,101.016926779,204.656
176,14.523554276,101.016749745,204.251
177,14.523466741,101.016582526,203.962
178,14.523387952,101.016434675,203.670
179,14.523376319,101.016411775,203.692
180,14.523375105,101.016425856,203.651
181,14.523220421,101.016539652,203.456
182,14.523045497,101.016637686,203.492
183,14.522886390,101.016726791,203.551
184,14.522721308,101.016817556,203.470
185,14.522570007,101.016903284,203.433
186,14.522405855,101.016996026,203.450
187,14.522249228,101.017084729,203.387
188,14.522081977,101.017179184,203.328
189,14.521919437,101.017270944,203.337
190,14.521766401,101.017356593,203.299
191,14.521600712,101.017448795,203.281
192,14.521440257,101.017537995,203.231
193,14.521285358,101.017625099,203.213
194,14.521123595,101.017716415,203.227
195,14.520954319,101.017811196,203.163
196,14.520797245,101.017897577,203.040
197,14.520640112,101.017985670,203.024
198,14.520471731,101.018082250,203.002
199,14.520318262,101.018169556,202.963
200,14.520149606,101.018264957,202.929
201,14.519992374,101.018352899,202.911
202,14.519834142,101.018442478,202.880
203,14.519675542,101.018531996,202.877
204,14.519515753,101.018621807,202.864
205,14.519354964,101.018712745,202.894
206,14.519193279,101.018803317,202.850
207,14.519026887,101.018898586,202.805
208,14.518871488,101.018987269,202.805
209,14.518712510,101.019076783,202.734
210,14.518555820,101.019164947,202.724
211,14.518389465,101.019259216,202.692
212,14.518233109,101.019346305,202.667
213,14.518072583,101.019436168,202.615
214,14.517907996,101.019528780,202.558
215,14.517747627,101.019619432,202.512
