DJI_20211224092312_0125.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
-0.0859763, 0.0175781, -0.0270642, 0.0212763, -8.7897e-05, 0.0110146, -0.00218986, 0.0168245, -0.0245377, 1, -0.0832747, 0.65897, -0.287368, 0.0273443
0.997399, -0.121592, 0.242202, -0.272411, 0.0277565, -0.150769, 0.036977, -0.0776919, 0.0310631, -0.0832747, 1, -0.00333657, -0.0255478, 0.00212472
-0.00911978, -0.00412309, 0.404486, 0.00535168, -0.00162454, 0.00130912, 0.396588, 0.000774707, -0.319891, 0.65897, -0.00333657, 1, -0.00344731, -0.27221
-0.0123625, 0.454895, -0.0128251, -0.00716269, 0.0142216, -0.0149689, -0.00958419, 0.422671, -0.637916, -0.287368, -0.0255478, -0.00344731, 1, -0.15785
0.00359434, 0.0183516, -4.57904e-05, -0.0038154, 0.000895174, 5.93554e-05, -0.00684371, 0.0145788, -0.0433652, 0.0273443, 0.00212472, -0.27221, -0.15785, 1
DJI_20211224092319_0130.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.1201, 0.242916, -0.287849, 0.0420203, -0.163919, 0.0375019, -0.0766458, 0.0269967, -0.0858124, 0.997233, -0.00789898, -0.0103898, 0.00298016
-0.1201, 1, -0.031505, 0.00211909, 0.0289532, -0.0146326, -0.00761586, 0.904923, -0.00470594, 0.0166564, -0.121481, -0.00280179, 0.462139, 0.016783
0.242916, -0.031505, 1, -0.0541328, -0.00613767, -0.0242888, 0.901201, -0.0217564, 0.0130054, -0.0269672, 0.242225, 0.406479, -0.0129362, 0.00161795
-0.287849, 0.00211909, -0.0541328, 1, -0.944114, 0.921714, 0.00634505, -0.0152872, -0.00832059, 0.0205853, -0.272735, 0.00383111, -0.00552931, -0.000641148
0.0420203, 0.0289532, -0.00613767, -0.944114, 1, -0.978299, -0.0168605, 0.0346546, 0.00231493, 0.00126284, 0.0280475, -1.41095e-05, 0.0114949, -0.00245372
-0.163919, -0.0146326, -0.0242888, 0.921714, -0.978299, 1, 0.011943, -0.0267318, -0.00542496, 0.00903918, -0.150952, -0.000998557, -0.012131, 0.00392755
0.0375019, -0.00761586, 0.901201, 0.00634505, -0.0168605, 0.011943, 1, -0.00798348, 0.00727712, -0.0024351, 0.037039, 0.397612, -0.0110072, -0.00413507
-0.0766458, 0.904923, -0.0217564, -0.0152872, 0.0346546, -0.0267318, -0.00798348, 1, -0.00700282, 0.0158437, -0.0775244, 0.00132188, 0.42867, 0.0141283
0.0269967, -0.00470594, 0.0130054, -0.00832059, 0.00231493, -0.00542496, 0.00727712, -0.00700282, 1, -0.0279726, 0.03177, -0.336564, -0.653673, -0.0202686
-0.0858124, 0.0166564, -0.0269672, 0.0205853, 0.00126284, 0.00903918, -0.0024351, 0.0158437, -0.0279726, 1, -0.0817827, 0.676983, -0.287636, 0.0198876
0.997233, -0.121481, 0.242225, -0.272735, 0.0280475, -0.150952, 0.037039, -0.0775244, 0.03177, -0.0817827, 1, -0.00362102, -0.0243061, 0.00356136
-0.00789898, -0.00280179, 0.406479, 0.00383111, -1.41095e-05, -0.000998557, 0.397612, 0.00132188, -0.336564, 0.676983, -0.00362102, 1, 0.0107551, -0.252196
-0.0103898, 0.462139, -0.0129362, -0.00552931, 0.0114949, -0.012131, -0.0110072, 0.42867, -0.653673, -0.287636, -0.0243061, 0.0107551, 1, -0.136335
0.00298016, 0.016783, 0.00161795, -0.000641148, -0.00245372, 0.00392755, -0.00413507, 0.0141283, -0.0202686, 0.0198876, 0.00356136, -0.252196, -0.136335, 1
DJI_20211224092321_0131.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.1201, 0.242916, -0.287849, 0.0420203, -0.163919, 0.0375019, -0.0766458, 0.0278958, -0.0870891, 0.997719, -0.00600075, -0.00825098, 0.00210572
-0.1201, 1, -0.031505, 0.00211909, 0.0289532, -0.0146326, -0.00761586, 0.904923, -0.00512534, 0.0168622, -0.12163, -0.0018217, 0.48382, 0.017984
0.242916, -0.031505, 1, -0.0541328, -0.00613767, -0.0242888, 0.901201, -0.0217564, 0.0163438, -0.0284474, 0.242655, 0.422627, -0.0138632, 0.00771322
-0.287849, 0.00211909, -0.0541328, 1, -0.944114, 0.921714, 0.00634505, -0.0152872, -0.00979867, 0.0214301, -0.272442, 0.00352925, -0.00541313, 0.00456727
0.0420203, 0.0289532, -0.00613767, -0.944114, 1, -0.978299, -0.0168605, 0.0346546, 0.0033273, 0.000895023, 0.0275415, -0.000115464, 0.0110541, -0.0077203
-0.163919, -0.0146326, -0.0242888, 0.921714, -0.978299, 1, 0.011943, -0.0267318, -0.00616878, 0.00914845, -0.150408, -0.00172998, -0.0121037, 0.00959904
0.0375019, -0.00761586, 0.901201, 0.00634505, -0.0168605, 0.011943, 1, -0.00798348, 0.00913239, -0.00160017, 0.0372832, 0.415699, -0.0125801, 0.00225631
-0.0766458, 0.904923, -0.0217564, -0.0152872, 0.0346546, -0.0267318, -0.00798348, 1, -0.00821468, 0.0149425, -0.0776016, 0.000891677, 0.449858, 0.0160176
0.0278958, -0.00512534, 0.0163438, -0.00979867, 0.0033273, -0.00616878, 0.00913239, -0.00821468, 1, -0.0314903, 0.0322932, -0.340121, -0.656804, -0.0193043
-0.0870891, 0.0168622, -0.0284474, 0.0214301, 0.000895023, 0.00914845, -0.00160017, 0.0149425, -0.0314903, 1, -0.0806189, 0.678374, -0.288458, 0.0397037
0.997719, -0.12163, 0.242655, -0.272442, 0.0275415, -0.150408, 0.0372832, -0.0776016, 0.0322932, -0.0806189, 1, -0.00063987, -0.022312, 0.00423821
-0.00600075, -0.0018217, 0.422627, 0.00352925, -0.000115464, -0.00172998, 0.415699, 0.000891677, -0.340121, 0.678374, -0.00063987, 1, 0.0208621, -0.248505
-0.00825098, 0.48382, -0.0138632, -0.00541313, 0.0110541, -0.0121037, -0.0125801, 0.449858, -0.656804, -0.288458, -0.022312, 0.0208621, 1, -0.140603
0.00210572, 0.017984, 0.00771322, 0.00456727, -0.0077203, 0.00959904, 0.00225631, 0.0160176, -0.0193043, 0.0397037, 0.00423821, -0.248505, -0.140603, 1
DJI_20211224092322_0132.JPG
ZenmuseP1_35.0_8192x5460 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.1201, 0.242916, -0.287849, 0.0420203, -0.163919, 0.0375019, -0.0766458, 0.0273253, -0.0871477, 0.997728, 0.000448747, -0.00719766, 0.000454164
-0.1201, 1, -0.031505, 0.00211909, 0.0289532, -0.0146326, -0.00761586, 0.904923, -0.00210762, 0.0159387, -0.121737, -0.00454523, 0.488965, 0.0171034
0.242916, -0.031505, 1, -0.0541328, -0.00613767, -0.0242888, 0.901201, -0.0217564, 0.0160507, -0.0267266, 0.242903, 0.420819, -0.0132794, 0.0116149
-0.287849, 0.00211909, -0.0541328, 1, -0.944114, 0.921714, 0.00634505, -0.0152872, -0.00671909, 0.0232065, -0.272833, 0.00109035, -0.00984943, 0.00591215
0.0420203, 0.0289532, -0.00613767, -0.944114, 1, -0.978299, -0.0168605, 0.0346546, 0.000144262, -0.0020672, 0.0280685, -0.000650219, 0.0157894, -0.00817625
-0.163919, -0.0146326, -0.0242888, 0.921714, -0.978299, 1, 0.011943, -0.0267318, -0.00308671, 0.0130353, -0.151047, -0.000764167, -0.0169624, 0.00994032
0.0375019, -0.00761586, 0.901201, 0.00634505, -0.0168605, 0.011943, 1, -0.00798348, 0.00953314, -0.00170607, 0.037564, 0.41081, -0.0124622, 0.00685926
-0.0766458, 0.904923, -0.0217564, -0.0152872, 0.0346546, -0.0267318, -0.00798348, 1, -0.00481403, 0.0138696, -0.0777719, -0.00237703, 0.453993, 0.0153071
0.0273253, -0.00210762, 0.0160507, -0.00671909, 0.000144262, -0.00308671, 0.00953314, -0.00481403, 1, -0.0326902, 0.0319647, -0.34024, -0.664947, -0.0372113
-0.0871477, 0.0159387, -0.0267266, 0.0232065, -0.0020672, 0.0130353, -0.00170607, 0.0138696, -0.0326902, 1, -0.0803003, 0.695693, -0.293438, 0.0187774
0.997728, -0.121737, 0.242903, -0.272833, 0.0280685, -0.151047, 0.037564, -0.0777719, 0.0319647, -0.0803003, 1, 0.00616583, -0.0211461, 0.00156951
0.000448747, -0.00454523, 0.420819, 0.00109035, -0.000650219, -0.000764167, 0.41081, -0.00237703, -0.34024, 0.695693, 0.00616583, 1, 0.0171736, -0.246689
-0.00719766, 0.488965, -0.0132794, -0.00984943, 0.0157894, -0.0169624, -0.0124622, 0.453993, -0.664947, -0.293438, -0.0211461, 0.0171736, 1, -0.104666
