DJI_20211224092312_0125 H_34.99999_23.32763
8947 -15.38649 -5.53069
8948 10.80987 -11.08099
8949 -11.90366 -6.70128
8950 12.16476 -11.09800
8951 12.65908 -5.01946
8952 -7.69461 -5.52784
8953 -4.73464 -3.19484
8954 6.07486 -7.72264
8955 11.74749 -10.45719
8956 15.26234 -10.29571
8957 -7.66419 -6.53085
8958 2.85297 -3.43649
8959 0.77146 -8.74182
8960 5.40791 -9.14151
11387 3.36200 -5.43967
14576 10.64876 -7.11157
-99
DJI_20211224092316_0128 H_34.99999_23.32763
4642 -10.63386 -4.88201
4643 -11.71644 -5.28979
4644 -16.55498 -6.97565
4654 -4.32414 -6.69429
4655 -12.08117 -3.78380
4656 -15.05301 -4.07679
4657 2.93123 -4.99146
4658 -7.21105 -6.71326
4659 -15.96930 -5.46163
4660 -12.14467 -4.05300
4661 1.29457 -3.11254
4662 -5.14972 -2.88402
4663 10.90325 -10.52235
4664 -16.68578 -6.30306
4665 -7.61405 -4.22350
4666 -3.40730 -5.31800
4667 -3.52823 -5.37860
4883 -0.25070 -9.52317
4885 5.63693 -10.41585
4889 -0.35181 -9.62711
4890 0.55182 -9.85428
4891 10.39435 -11.11768
4950 -0.42836 -10.22681
4952 0.51487 -9.49131
4954 16.83520 -11.09332
4956 4.24165 -9.94196
4957 4.11475 -10.31155
4971 3.98676 -9.57287
4972 10.79036 -10.39009
5014 -5.15716 11.25981
5015 -12.53733 10.67072
5016 -13.24073 9.59917
5017 -9.44172 9.27418
5018 -6.61638 10.23562
5019 -16.91486 10.08278
5020 -16.61137 8.04373
5021 -11.70763 7.46640
5022 -15.62888 7.28072
5023 -5.01445 7.40738
5024 -8.02259 7.61074
5025 15.20326 3.70480
5029 -16.30423 -1.28488
5030 0.54850 1.36749
5031 -2.70724 0.72284
5032 -5.21276 -1.57637
5033 -4.17573 0.04103
5034 1.02191 0.85564
5036 -11.02432 -1.15578
5037 -9.57875 1.12192
5038 -12.15016 0.14481
5039 -12.43077 1.21591
5041 -14.34558 -2.28613
5042 -15.15201 -2.33601
5043 -10.50434 -2.29256
5044 -10.81640 -2.41802
5045 -1.29354 -6.47425
5046 -10.27374 -2.49281
