8back01053 H_25.39998_16.93332
7134 -0.76416 -2.59140
7135 8.68116 6.11045
7136 10.05538 1.91411
7137 -9.80647 7.46329
7138 -3.51098 2.74686
7139 -3.16247 -4.60198
7141 -2.93216 1.15734
7142 8.80385 5.90348
7143 -5.16755 7.50061
7144 7.88978 7.41729
7145 -9.78303 5.22531
7146 10.76792 0.13896
7147 3.26901 -6.37140
7149 -6.72419 7.71523
7150 5.73545 -4.11707
7151 -2.83618 3.46770
7152 -2.17029 0.79424
7153 12.30016 4.28315
7154 6.92969 -0.89805
7155 -2.10897 7.52476
7156 -3.87516 -6.64606
7157 5.58100 -4.70925
7158 -2.34621 1.23076
7159 -1.99640 -6.20094
7160 10.20943 1.47805
7161 11.03470 6.65114
7163 4.02702 -1.12451
7164 5.08171 -2.42262
7169 5.43856 -6.65086
7375 -2.14984 -8.02771
7376 5.12168 -5.68137
7378 -0.09888 -1.85780
7379 -9.46757 2.61356
7380 8.52075 -4.32911
7382 10.75138 -2.19073
7383 8.31862 -2.65489
7384 -3.10644 1.12234
7385 -2.71350 -1.92039
7386 7.51689 2.46924
7387 7.59619 -1.66514
7388 -11.14022 0.27317
7389 -8.18044 2.08295
7390 -2.41954 1.15467
7391 -6.94288 3.26171
7392 6.86386 4.17395
7394 9.18284 0.90015
7395 1.01861 -6.95266
7396 -5.17256 -1.66626
7397 -2.85650 -4.98654
7398 6.76306 1.20606
7399 -3.25343 4.27662
7400 8.89667 -6.06147
7403 -9.66579 3.41164
7404 7.83178 -6.94682
7405 10.18660 -7.57862
7407 10.77078 -6.61736
-99
8left01054 H_25.39998_16.93332
7174 -8.07106 -4.04785
7175 -0.83364 3.36078
7176 0.28854 -3.21807
7177 -1.27368 -4.19502
7178 0.49109 6.95824
7180 -3.30611 -6.63191
7181 2.07854 -3.76232
7182 -0.37673 0.07428
7185 -8.34458 6.09631
7187 -0.96597 -2.36940
7188 0.95548 3.33687
7189 -0.73738 7.11274
7190 -6.36714 -2.66874
7193 0.65582 3.32946
7194 2.61200 5.43948
7195 -5.16118 5.68418
7197 1.91304 -4.52304
7198 2.21288 -0.44524
7199 -5.25064 -5.89741
7200 2.96434 1.17065
7201 6.46047 -1.78001
7203 1.05035 5.65442
7204 -1.60467 -2.81905
7205 -7.06088 0.89177
7206 -1.85801 5.30275
7207 -0.24446 2.97559
7208 0.46318 -2.39075
7209 -6.93227 6.89940
7210 0.19001 2.49087
7211 -1.68709 1.16641
7213 -2.66398 7.85882
7214 7.80531 1.86233
7215 -1.37612 6.59920
7216 6.76857 8.27009
7217 2.71207 6.15968
7218 -3.74480 0.45208
7219 -5.31313 -6.80527
7220 6.82800 5.02109
7224 1.30428 6.08761
7225 -0.19938 -5.77507
7226 7.60612 2.40590
7228 2.02270 -6.32286
7229 1.46256 -0.94552
7230 -3.86202 1.83883
7231 9.89034 -0.36600
7232 1.97029 3.49353
7233 -3.87667 -6.27883
7234 -8.40013 4.62929
7236 -9.38032 1.57415
7237 4.15240 -1.95161
7238 -1.20257 1.73495
7239 -0.50840 1.90545
7240 -7.79644 1.13964
7249 -4.50690 3.79357
7250 -3.89980 0.03908
7413 3.23340 1.99880
7414 -4.99837 6.02858
7415 -7.90844 -2.66088
7417 -4.48761 -3.88151
7418 -1.85376 5.67265
7419 -7.26402 -0.29943
7421 0.88662 -7.25746
7422 -12.07856 -4.86469
7423 -6.26377 2.23206
7424 -12.21046 7.04744
7426 -9.47466 6.00270
7427 -6.53045 -6.21037
7428 -6.45376 4.63446
7429 -7.75764 -4.96094
7430 -12.28894 -2.66700
7431 -10.97774 -0.45677
7433 -11.34711 0.04105
7434 -2.15237 -6.79995
7436 -1.31256 3.62812
7437 -11.25657 -3.17455
7439 -11.34435 5.61714
7440 5.99106 6.19687
7441 -0.61692 -1.81240
7442 -9.64228 -1.51780
7443 -1.04946 -0.47240
7444 -3.26452 -2.64433
7445 2.10109 -2.16972
7446 -12.31922 0.62876
7448 1.98942 5.84856
7449 4.05340 -2.39817
7450 2.72879 -7.10500
7451 9.17819 -6.94931
7452 2.54175 0.85757
7453 3.27483 4.31381
7455 -11.92236 2.68110
7456 -10.86266 -7.75809
7457 2.20742 4.01717
7458 1.29633 -3.91368
7459 -12.16566 3.68934
7460 8.89921 2.74380
7461 2.67092 0.97601
7462 4.34480 -4.96714
7464 -12.00151 -1.60086
7465 -10.66342 2.26096
7466 -9.74997 -7.50539
7469 -3.58633 3.04798
7470 -11.95326 -0.80986
-99
8right01054 H_25.39998_16.93332
7262 -0.10256 0.82269
7263 -7.00350 -0.60001
7264 -1.13460 1.61094
7265 -11.47856 -3.85654
7266 -10.65309 2.52895
7267 -10.57223 4.10967
7268 7.92733 -4.21074
7269 0.12046 1.96791
7270 7.37524 -4.85595
7271 7.23030 5.61049
7272 6.21429 5.73762
7273 6.56031 -3.80779
7274 -12.24029 0.57543
7275 -0.04330 -2.34126
7276 -7.58823 -5.52515
7277 -1.61102 4.19174
7278 1.37856 5.26029
7279 4.94054 8.02065
7280 -9.02849 -6.68051
7281 8.10341 4.10691
7282 -0.68915 4.95463
7283 4.75440 3.61314
7284 -6.58386 3.38329
7285 2.64417 -1.60211
7286 3.05954 -0.87336
7287 5.07800 -4.91146
7288 -11.11680 -5.99484
7289 -10.09746 3.01975
7290 -4.17388 4.37926
7291 8.96186 -6.88588
7292 4.36993 -4.32289
7293 -0.76263 -2.33518
7294 -7.10637 -1.61207
7295 -3.13096 0.62255
7296 3.41855 7.12996
7297 -9.77055 4.91361
7298 6.45005 -6.24767
7299 -1.94965 -4.23714
7300 4.36993 -1.41065
7301 -5.57652 7.55230
7302 -3.43361 0.08133
7303 -12.21474 2.79055
7304 -2.87389 -4.44654
7305 -10.30262 6.59831
7306 3.90570 -2.79755
7307 -5.32118 5.94888
7308 0.13161 -3.50046
7309 6.43778 -0.77909
7310 -8.10405 4.84525
7311 -9.63671 -5.76192
7312 -10.01923 6.07747
7313 -4.21556 -5.64416
7314 -1.29860 3.06852
7315 0.16746 8.19328
7316 1.76024 -0.86085
