imageName longitude latitude altitude Omega Phi Kappa
8left01065.JPG 101.01846147 14.52043936 124.81454100 -37.59320791 36.60234940 -51.24778423
8right01065.JPG 101.01846072 14.52043894 124.82240371 15.36084678 -38.96384409 130.35382129
8back01066.JPG 101.01838865 14.52056371 124.84109156 -53.73236155 -22.02577238 21.08135528
8down01066.JPG 101.01838844 14.52056402 124.80740948 -12.14919992 -1.79633588 30.49725825
8front01066.JPG 101.01838822 14.52056443 124.82258352 28.26746701 19.78857708 -156.28361690
8left01066.JPG 101.01838881 14.52056428 124.82805866 -37.89414627 36.17283878 -51.59915822
8right01066.JPG 101.01838806 14.52056386 124.83561642 14.99185944 -39.44847606 130.57593721
8back01067.JPG 101.01831901 14.52067500 124.81100380 -51.72965136 -21.18065320 21.95484642
8down01067.JPG 101.01831879 14.52067532 124.77881147 -10.46704923 -0.62531798 30.54712012
8front01067.JPG 101.01831857 14.52067572 124.79578419 30.21544761 20.71079113 -157.05467226
8left01067.JPG 101.01831917 14.52067557 124.79948873 -36.62828989 37.20396061 -50.90418523
8right01067.JPG 101.01831841 14.52067515 124.80729926 16.28043423 -38.38197335 129.95110166
8back01068.JPG 101.01824784 14.52079469 124.85228686 -54.08900077 -21.84877299 20.94672608
8down01068.JPG 101.01824763 14.52079500 124.81842365 -12.46206615 -1.74690657 30.28625263
8front01068.JPG 101.01824740 14.52079541 124.83335970 28.03021629 19.68934455 -156.48819133
8left01068.JPG 101.01824800 14.52079526 124.83891640 -38.07686849 36.30878005 -51.80826609
8right01068.JPG 101.01824724 14.52079484 124.84673017 14.51231121 -39.50039504 130.30348801
8left01069.JPG 101.01818311 14.52090487 124.86652751 -37.82648449 36.68054102 -51.31199519
8back01069.JPG 101.01818295 14.52090430 124.87945607 -53.35022792 -21.59941579 21.46877117
8down01069.JPG 101.01818274 14.52090462 124.84613596 -11.91137123 -1.23868681 30.48401908
8front01069.JPG 101.01818252 14.52090502 124.86172782 28.64105961 20.20412370 -156.67960420
8right01069.JPG 101.01818236 14.52090445 124.87465638 15.01368622 -38.95776669 130.23364975
8back01070.JPG 101.01810932 14.52102786 124.91281940 -55.02486312 -22.40288885 20.06521661
8down01070.JPG 101.01810912 14.52102817 124.87820920 -13.07521813 -2.70421824 30.04645442
8front01070.JPG 101.01810889 14.52102858 124.89224846 27.27333990 18.80516458 -156.02396017
8left01070.JPG 101.01810949 14.52102843 124.89907977 -38.22646597 35.54659004 -52.58238921
8right01070.JPG 101.01810873 14.52102801 124.90598809 14.09489976 -40.46187290 130.59362174
8back01071.JPG 101.01804490 14.52113558 124.79825520 -53.46917629 -21.73779747 21.28323278
8down01071.JPG 101.01804469 14.52113589 124.76481525 -11.96269511 -1.45656440 30.44645871
8front01071.JPG 101.01804447 14.52113629 124.78027364 28.54922686 20.01412489 -156.55921140
8left01071.JPG 101.01804506 14.52113614 124.78533546 -37.78126947 36.50087472 -51.47246531
8right01071.JPG 101.01804431 14.52113573 124.79319339 15.01622822 -39.16899920 130.31772485
8back01072.JPG 101.01797501 14.52125265 124.85686229 -52.56383179 -21.29565778 21.76798142
8down01072.JPG 101.01797480 14.52125297 124.82411619 -11.23423504 -0.82666790 30.49215474
8front01072.JPG 101.01797458 14.52125337 124.84040693 29.41528028 20.52224769 -156.95902669
8left01072.JPG 101.01797517 14.52125322 124.84456150 -37.29034222 37.04734308 -51.07721858
8right01072.JPG 101.01797442 14.52125280 124.85270772 15.54701600 -38.58650202 130.00424504
8back01073.JPG 101.01790162 14.52137628 124.78280521 -54.13317909 -21.93666019 21.20516371
8down01073.JPG 101.01790141 14.52137659 124.74891600 -12.59555258 -1.65349217 30.52405873
8front01073.JPG 101.01790118 14.52137699 124.76380316 27.84639065 19.91468318 -156.36042521
8left01073.JPG 101.01790178 14.52137685 124.76923875 -38.40449701 36.28981928 -51.49224399
8right01073.JPG 101.01790102 14.52137643 124.77736962 14.51081614 -39.30912853 130.52253003
8back01074.JPG 101.01783325 14.52149005 124.68761099 -54.58427821 -22.05312297 20.91123073
8down01074.JPG 101.01783304 14.52149035 124.65340414 -12.94051511 -1.92150844 30.39747153
8front01074.JPG 101.01783281 14.52149076 124.66790003 27.47751748 19.62861525 -156.27806802
8left01074.JPG 101.01783341 14.52149061 124.67375460 -38.57696966 36.10327588 -51.77763696
