imageName X Y Z Omega Phi Kappa
8left01075.JPG 717438.607371 1606375.747482 124.620400 -37.861542 36.593361 -51.429233
8right01075.JPG 717438.526349 1606375.700506 124.628436 14.918868 -39.085408 130.249850
8back01076.JPG 717431.400879 1606387.694918 124.625413 -53.127835 -21.571033 21.447020
8down01076.JPG 717431.377602 1606387.729432 124.592232 -11.681708 -1.230798 30.450064
8front01076.JPG 717431.353252 1606387.774067 124.608004 28.882829 20.188044 -156.712551
8left01076.JPG 717431.417573 1606387.757994 124.612738 -37.575903 36.702468 -51.345779
8right01076.JPG 717431.336557 1606387.710991 124.620679 15.216714 -38.966097 130.190127
8back01077.JPG 717424.280981 1606399.868984 124.636519 -53.328964 -21.645243 21.276196
8down01077.JPG 717424.257826 1606399.903432 124.603185 -11.821529 -1.391585 30.380205
8front01077.JPG 717424.233456 1606399.948120 124.618776 28.725763 20.020473 -156.657731
8left01077.JPG 717424.297753 1606399.932019 124.623742 -37.615228 36.588207 -51.511476
8right01077.JPG 717424.216684 1606399.885085 124.631554 15.086988 -39.141085 130.203613
8back01078.JPG 717416.359543 1606413.089002 124.603859 -53.543240 -22.070573 20.871512
8down01078.JPG 717416.336641 1606413.123365 124.570263 -11.885097 -1.959011 30.381554
8front01078.JPG 717416.312030 1606413.168020 124.585567 28.529127 19.589749 -156.265114
8left01078.JPG 717416.376309 1606413.152057 124.591174 -37.498734 36.076342 -51.815457
8right01078.JPG 717416.295265 1606413.104964 124.598252 15.236028 -39.645987 130.538675
8back01079.JPG 717408.989428 1606426.480383 124.432824 -53.011826 -21.506940 21.483722
8down01079.JPG 717408.966132 1606426.514968 124.399731 -11.579525 -1.160156 30.433234
8front01079.JPG 717408.941823 1606426.559588 124.415611 29.006982 20.230756 -156.775133
8left01079.JPG 717409.006141 1606426.543473 124.420242 -37.485103 36.773365 -51.326162
8right01079.JPG 717408.925109 1606426.496498 124.428192 15.281315 -38.910694 130.129771
8back01080.JPG 717401.193298 1606439.381278 124.367679 -52.975290 -21.731238 21.282545
8down01080.JPG 717401.170126 1606439.415901 124.334538 -11.468676 -1.452076 30.441632
8front01080.JPG 717401.145687 1606439.460462 124.350383 29.045767 20.014403 -156.566219
8left01080.JPG 717401.210000 1606439.444411 124.355303 -37.285360 36.507017 -51.475437
8right01080.JPG 717401.128985 1606439.397328 124.362760 15.505207 -39.167188 130.309552
8down01081.JPG 717393.502116 1606452.515455 124.162952 -12.105569 -1.790740 30.485197
8left01081.JPG 717393.541817 1606452.544275 124.183621 -37.843974 36.183115 -51.609600
8back01081.JPG 717393.525167 1606452.481250 124.196606 -53.690498 -22.013586 21.075635
8front01081.JPG 717393.477502 1606452.560141 124.178161 28.316082 19.785021 -156.297226
8right01081.JPG 717393.460851 1606452.497117 124.191147 15.024940 -39.448995 130.558739
8back01090.JPG 717411.323003 1606466.854223 124.325530 58.598727 28.610343 -168.325407
8down01090.JPG 717411.339767 1606466.820817 124.287621 13.184971 12.416838 -151.162156
8front01090.JPG 717411.367282 1606466.776274 124.297256 -25.934626 -10.563031 29.435792
8left01090.JPG 717411.304934 1606466.791157 124.314841 35.137105 -27.114414 121.591574
8right01090.JPG 717411.385351 1606466.839340 124.307944 -17.828436 49.539855 -44.215037
8back01091.JPG 717418.770833 1606454.279615 124.325440 50.099365 26.916136 -163.876484
8down01091.JPG 717418.790744 1606454.242545 124.292830 6.460765 8.448836 -149.516054
8front01091.JPG 717418.818001 1606454.199911 124.309363 -32.639606 -14.663324 28.158758
8left01091.JPG 717418.754354 1606454.215402 124.320631 30.369742 -30.138756 125.051396
8right01091.JPG 717418.834481 1606454.264124 124.314171 -23.578713 45.299507 -45.131991
8back01092.JPG 717426.633663 1606441.355281 124.519256 50.330949 26.643592 -163.630276
8down01092.JPG 717426.653726 1606441.318383 124.486545 6.807449 8.099879 -149.545018
8front01092.JPG 717426.680833 1606441.275618 124.502986 -32.361107 -14.915908 27.907975
