A0619 H_23.52000_15.68000
9067 3.57385 -5.63109
9068 10.65209 -5.37156
9069 11.16750 1.45020
9070 -2.28880 4.41773
9071 7.16595 -2.72927
9073 6.76372 -5.52624
9074 8.89469 1.65186
9075 7.05558 4.29806
9076 0.87411 -6.77079
9077 6.50397 -4.03284
9079 10.91117 3.37321
9080 10.89370 -1.22683
9082 5.52361 -1.30343
9083 5.35183 6.51608
9084 4.44740 1.49082
9085 2.93746 0.71268
9087 2.80676 -4.05287
9088 5.75481 2.87659
9091 8.15717 -5.46187
9092 8.19558 5.28534
9093 5.15896 -7.18195
9095 7.74397 -7.46371
9097 -0.84786 -5.11306
9098 11.09337 -1.86087
9100 8.50103 -1.66796
9101 6.03313 -1.90819
9103 3.03849 3.45602
9104 -5.87323 1.88791
9105 4.60725 -6.83321
9106 4.12947 5.79671
9107 1.92447 -3.34860
9108 -0.12451 6.58718
9109 7.08522 6.64527
9110 -2.78422 4.36225
9112 -0.32594 -1.56017
9113 11.30297 4.68786
9114 7.27795 5.08671
9115 2.03010 -0.73196
9119 7.17767 4.17324
9120 9.40830 -3.67189
9121 -0.25140 -3.86937
9123 11.28572 -6.78057
9125 -4.24793 -5.13159
9126 0.64123 5.45340
9417 -9.97818 5.80391
9418 -6.17458 5.04889
9420 -11.19773 -0.70896
9421 -7.19285 -2.23976
9426 -7.22941 0.46386
9430 -6.89409 4.22730
9431 7.16846 2.50767
-99
D0620 H_23.52000_15.68000
1644 3.89499 0.45117
9138 0.73566 -0.57029
9139 -3.04070 -0.98026
9140 5.94701 -5.50261
9141 -6.73614 -1.25855
9142 3.35859 3.29319
9143 4.27365 3.30737
9145 1.74545 -2.56454
9146 1.93060 2.65275
9148 -7.17008 -1.33582
9149 2.00515 3.25762
9150 4.78394 3.29154
9151 4.68972 -6.25635
9152 -4.30007 -0.38254
9153 -3.73206 -6.29706
9154 3.54474 4.27693
9155 -2.72780 -5.75915
9158 1.23309 -6.32488
9159 -0.46526 -0.13120
9160 0.12850 -6.43256
9161 4.64198 -6.77386
9162 -1.36012 -6.64563
9164 -3.36359 2.19536
9166 4.65534 -4.57941
9167 6.42603 -2.32205
9170 -3.28736 -0.03077
9172 0.08907 -5.80431
9175 5.93885 -6.14427
9176 6.44343 -6.70138
9178 6.86681 4.56834
9179 5.35099 -4.59892
9180 -9.71807 -7.15611
9181 4.75710 1.21952
9184 3.48043 2.66267
9186 5.27501 -3.18547
9187 -1.90191 -2.48382
9188 -2.87013 -2.07684
9189 2.51960 -5.63696
9191 1.18369 3.70421
9193 6.14164 0.73150
9196 -0.05504 5.24795
9197 0.58193 6.66157
9198 2.54711 -3.51104
9200 -10.62880 4.60289
9201 4.17348 4.52577
9202 -4.85342 -5.81895
9203 7.01052 6.39815
9204 -4.69901 -5.90357
9205 -6.44308 -6.61604
9206 -7.34920 6.15595
9207 -5.01984 4.02654
9208 -4.67662 -3.29920
9209 -9.63789 1.24691
9212 -8.75779 3.43612
9213 4.46251 7.02132
9214 -3.91460 -1.97564
9215 -3.29670 5.99447
9216 -0.26299 -3.06398
9218 -5.33358 4.50699
9219 -9.35131 -5.67075
9220 -4.46622 -5.50417
9222 -0.24785 1.18672
9223 -4.84976 5.54942
9227 3.30343 7.36116
9228 -8.12132 3.55131
9229 7.33762 3.27086
9231 -1.96139 5.72871
9233 1.49429 -0.07072
9236 7.61325 7.15876
9237 -6.32337 2.51420
9238 -10.69364 -1.36327
9239 -11.03813 3.35139
9241 -5.79518 -1.90318
9242 -6.29315 4.80602
9243 -1.15355 -5.03574
9245 -4.65154 3.17164
9435 9.96406 0.45818
9440 9.39811 0.65894
9448 -5.09521 1.63758
9453 -2.66931 -3.00732
9454 10.39421 -0.48602
9456 10.98146 2.43673
9459 -6.33252 -0.59560
13953 -8.57629 -6.72663
-99
S0620 H_23.52000_15.68000
1469 4.89910 -5.67237
1557 9.99748 -0.23541
1565 8.66653 -1.05095
1570 9.36490 -0.33868
1625 9.65971 -0.11258
1628 11.40005 -0.12448
1629 8.78059 -0.21513
1633 4.85372 -6.86514
1634 -7.47218 3.89345
1639 -0.94281 5.78150
1642 4.68159 -0.11404
1649 4.38847 -7.50056
1684 8.07288 -1.85600
1731 5.84003 5.45333
1736 6.34588 5.72237
1738 9.36754 5.82912
1742 10.80461 4.91544
1772 6.68530 -7.35368
1773 9.02444 -7.03186
1774 10.35031 -7.58408
1775 9.77735 -6.92144
1777 9.65574 -7.53076
1778 11.11675 -7.50980
1779 9.50554 -6.81619
1780 9.90758 -6.99015
1788 6.35468 -6.88572
1816 10.38566 5.54906
1818 8.12909 -3.51524
1819 11.07453 -3.98665
1820 10.34968 -3.92859
1821 9.67906 -3.90241
1823 8.95152 -4.06665
1830 9.61240 -3.40229
1837 10.82274 4.18269
1866 7.53386 5.00590
1879 8.35202 5.08544
1894 9.23050 5.54650
1910 11.34180 5.93794
1918 8.11817 -5.19661
1938 6.05974 -6.62339
1949 11.30971 -4.32903
1950 11.50632 -5.51454
1954 6.59655 5.89294
1958 -5.95703 -4.98056
1959 -8.00188 -4.47111
1966 7.11391 2.73236
1968 10.85252 -0.49948
1969 5.54524 3.12807
1970 8.99789 3.28669
1971 10.97138 1.54976
1977 11.26143 -2.44711
1978 9.46468 -1.14510
1979 11.54808 -1.25162
1981 10.31457 -0.77074
1984 -8.28558 -4.65100
2149 11.36984 1.33152
2247 10.63410 -4.50695
2248 8.71091 -5.88730
2258 11.20265 1.92995
2259 10.21859 3.02269
2263 8.91666 1.99081
2265 10.03673 2.29509
2266 9.74740 2.66862
2268 6.38310 0.94704
2786 -8.27289 -4.90468
2873 -6.13548 -1.95601
2972 -6.85898 -6.24173
3554 -3.31751 5.42296
3555 -1.34966 2.33163
3556 -2.19885 3.07169
3557 -7.76431 -1.36401
3559 -1.10915 0.91861
3565 -1.27451 1.27297
3604 -0.45122 -6.88687
3607 0.14300 -7.33683
3612 -0.84700 -7.57231
3627 -5.25225 -2.84126
3688 2.05552 -5.66263
3750 -9.55559 6.37649
3753 3.46509 -3.55460
3764 4.01068 5.13280
3767 -5.44272 -7.38809
3769 5.49797 -4.00026
3770 6.20432 -3.71718
3772 4.88976 3.32189
3773 6.22388 5.20566
3782 -7.55375 -4.84203
3811 -6.36458 0.08461
3814 -10.59323 4.83958
3816 -11.49642 5.23183
3825 -8.87726 6.58653
3828 0.63721 1.45657
3831 -2.11159 0.56216
3836 -9.03946 -0.77978
3837 -1.08009 2.71909
3841 3.34930 -2.78071
3845 1.41351 1.17491
3846 1.35990 1.47636
3847 -6.06555 3.67464
3852 3.91214 3.76707
3853 -9.88607 -1.60309
3866 3.30848 4.51327
3868 -9.97802 -1.75822
3877 5.08080 -1.22963
3878 -7.54224 -6.34934
3879 4.10694 0.26760
3880 4.57618 -0.12976
3882 -4.98753 -3.39782
3883 -7.87862 -5.78709
3885 -1.88329 6.73110
3886 -7.84675 4.39314
3889 0.40726 -5.18189
3890 -2.16762 3.51352
3891 -0.82882 -3.39081
3895 -0.08224 2.06972
3896 -5.95501 4.05028
3902 2.85617 4.06382
3905 2.86874 -3.96269
3906 -3.65900 0.07480
3920 -3.54373 5.18360
3924 0.44088 4.44248
3938 -9.36074 3.37350
3944 0.27818 7.28838
3950 0.03923 7.27010
3951 -3.16023 5.96717
3953 0.51586 2.05681
3955 -0.93646 -0.90531
3956 -6.95607 -3.88100
3957 1.20135 3.93513
3958 1.53268 4.95425
3959 1.75156 5.01672
3960 0.83244 2.82271
3961 -0.83034 -1.97008
3963 -0.11511 -1.85612
3969 -3.68222 3.33257
3971 -5.49335 -1.49095
3991 -9.08831 2.09963
3996 -4.09862 3.78978
3997 -11.48774 4.43747
3998 -3.63746 3.85880
3999 -4.01628 2.23840
4000 -5.59950 3.87627
4002 -2.73604 2.25070
4006 -3.31571 -1.45474
4022 -1.12932 0.10965
4024 -3.71896 4.49734
4048 -2.80700 -1.24062
4049 -5.54150 2.01410
4050 -4.95206 3.47936
4051 -3.76937 0.70084
4052 2.63961 -0.30707
4053 -11.47739 4.33060
4062 1.59402 4.78371
4064 -5.36322 4.42018
4065 -0.74374 -2.42791
4068 -7.75995 -2.02099
4071 2.71543 -1.52286
4217 -3.50197 -2.04485
4750 -4.13379 -4.29375
4754 -7.33646 -6.62790
4767 -6.03751 -2.64558
4780 -7.32817 2.63618
4785 -3.97860 -4.33543
4787 -9.25667 2.26824
4788 -8.78769 3.00335
4790 -7.16525 1.64994
4794 -4.78380 -1.58903
4801 -11.19195 1.71822
4802 -10.44514 2.95847
4805 -9.26313 -1.07409
4806 -7.61584 2.46669
4807 -7.78840 3.18627
4809 -9.48790 2.38890
4810 -9.79771 -0.25752
4811 -7.55340 4.72755
4814 -7.97349 -0.48085
4816 -10.12799 2.25340
4817 -7.23761 0.54275
4819 -4.78640 -2.33751
8861 -4.71634 -1.23255
8863 -3.91981 -3.68963
8864 -2.88440 -5.12597
8865 -4.17269 -3.90201
8866 -2.83359 -4.89814
8867 -4.91352 -2.66555
8874 -4.21935 -1.30264
8875 2.10858 1.59603
8876 2.00098 -3.97727
8877 1.98732 -1.41981
8878 1.26001 -4.40181
8879 -3.12852 -0.88984
8880 -4.50326 -0.69295
8881 -4.05304 2.89152
8882 -1.41987 -0.64299
8883 1.55635 -3.26089
8884 1.19979 1.38721
8885 -2.13783 3.87292
8886 -0.96929 -1.97355
8887 1.71297 3.73731
8888 -4.79521 -3.78054
8889 1.87087 -0.45064
8890 2.21961 -1.64658
8891 2.27821 3.01510
8892 3.56792 1.38158
8893 -4.19258 -0.96323
8894 2.89349 3.23161
8895 4.01934 1.73804
8896 5.40052 -0.17431
8897 -5.24621 -3.69124
8898 3.71960 -1.19760
8899 4.16815 0.46281
8900 -2.87679 -0.62991
8901 4.24998 -5.66831
8902 4.06383 -4.92491
8903 5.70485 -2.23821
8904 5.38302 -4.75119
8905 4.44609 2.53442
8906 5.28753 -1.91565
8907 0.50171 -7.32124
8908 -2.67894 -7.50593
8909 2.16526 -7.17340
8910 0.25777 -6.67589
8911 1.00845 3.14569
8912 -1.12357 -5.16338
8913 -2.17743 -3.58449
8915 0.62488 3.41623
8916 1.57812 -6.55322
8917 2.20188 -6.53986
8918 0.78512 -7.39311
8919 0.22954 -7.64044
8920 0.93924 -6.08053
8922 1.93151 -5.58133
8924 3.19221 -6.20311
8925 3.24505 -6.53537
8926 3.16787 -6.41023
8927 3.88915 -5.66743
8928 3.70491 -6.06042
8929 -0.07803 2.91397
8930 -3.17053 -6.90300
8931 -0.78338 -5.86161
8943 7.85252 -6.50670
8952 7.00903 -5.16694
8953 6.04276 -5.55988
8958 6.56526 -0.35533
8959 4.02466 -7.62593
9252 0.11683 2.50113
9253 2.60914 3.11150
9254 -2.86081 -2.63535
9255 -6.04257 0.14559
9259 -1.35311 -0.88910
9263 -3.60367 -4.01928
9463 2.16092 -5.51408
9465 -3.27735 -5.27291
9466 -3.30805 -7.70039
9470 2.38588 -4.93084
9478 2.72120 -3.17201
-99
W0620 H_23.52000_15.68000
1555 -4.00165 -2.82305
1681 -6.14717 0.70737
1682 -5.64914 3.04257
1683 -5.66125 -2.42198
1697 -4.29794 -0.54671
1700 -4.60525 2.97192
1703 -5.54842 4.27499
1764 -3.19282 -6.46606
1765 -4.56369 3.21274
9275 -5.65201 2.93951
9276 -4.91442 3.34700
9277 -7.35213 -0.71944
9279 -3.56749 5.88169
9280 3.40802 -1.07623
9281 -4.65630 -1.17178
9283 -0.82583 6.48459
9284 -1.20917 -0.00648
9285 2.19507 -1.68448
9286 -1.44307 2.81614
9288 1.69070 6.48009
9289 -7.59312 2.56495
9290 -8.80455 2.82539
9291 1.83616 4.57662
9292 -8.64030 3.20549
9293 -4.54027 5.29520
9296 4.38198 -0.11606
9297 5.84048 1.54147
9298 -8.64032 4.89983
9299 -4.00395 4.26747
9301 -7.26979 -2.90243
9302 1.29183 0.68943
9303 -0.84376 4.94204
9304 -7.27789 1.14516
9307 -2.26692 -0.41301
9308 -7.15038 5.52055
9309 -5.06154 5.56408
9310 -1.26988 -3.64350
9312 -9.04542 3.77745
9313 -1.21078 -1.90360
9314 -9.50133 1.53294
9316 -2.74754 3.37554
9318 -6.41013 7.08379
9319 -9.31235 -0.14946
9320 -3.33310 5.01683
9321 1.58212 -2.81572
9322 -8.03898 -1.36520
9324 -8.49648 3.78895
9325 -10.40679 6.46135
9326 1.58696 3.75696
9328 0.28628 2.46772
9329 2.32692 -3.13370
9330 4.55196 -2.79710
9331 -10.54887 4.62834
9332 -4.84813 -3.65715
9333 -4.53894 -3.80817
9334 2.86596 6.99720
9335 -10.14352 5.76969
9336 -7.22240 0.95885
9337 -4.01803 7.62977
9339 -7.69940 -2.14901
9482 -0.91409 -3.98236
9483 3.49822 0.69718
9484 -7.74733 -4.45912
9487 5.91673 -6.27678
9488 -2.35920 -6.42948
9489 -7.14620 -5.27544
9490 -3.30773 -5.35401
9491 -5.61281 -5.55994
9492 -0.47548 -1.37198
9495 4.26000 -2.77058
9496 -8.72880 1.35321
9498 -4.71691 -6.77920
9499 -4.87829 -4.48937
9500 -5.83507 -6.29673
9502 -3.02822 -3.96087
9507 -10.23612 -4.82408
9508 -6.74997 -4.40811
9509 -11.14701 -0.53217
9516 -5.54842 4.27499
9517 2.52207 5.97008
9518 -0.90649 -4.11516
9519 -8.06113 -7.02176
9520 -6.22760 -7.39892
9521 -10.83869 -2.42824
9522 -7.46204 -7.56720
9523 -9.33827 3.26802
9524 -0.49769 4.60207
9526 -7.22084 1.41982
9527 0.35194 6.36064
9528 -4.23990 1.46216
9529 -3.56749 5.88169
9530 -10.99448 -1.67879
-99
X0620 H_23.52000_15.68000
1615 -4.97537 -1.43566
1631 -4.29367 0.43816
1641 -8.75516 -4.57867
1643 -3.67268 -5.91918
1758 -2.77166 -2.99363
1760 -4.53827 2.79327
1761 -5.34547 6.20661
1770 -3.46777 -1.88221
1952 -3.92053 0.19975
1960 -5.01550 -0.66167
1962 -4.78474 -0.20160
2272 -4.92416 0.83546
2283 -4.70545 0.99715
2284 -5.03731 1.98041
2285 -4.59379 -2.21219
2287 -5.46405 -1.98379
2288 -5.51803 2.34159
9348 -1.36989 -5.76660
9350 -8.36190 2.61821
9352 -8.29037 -4.81280
9356 -2.98895 1.30018
9359 -4.89796 3.80192
9361 -10.41756 0.89170
9362 -7.12046 -0.76557
9364 -6.85739 4.40128
9367 -3.26457 -7.31378
9369 1.53376 -5.67162
9370 -10.24598 -1.00296
9371 -5.32492 -0.14753
9372 -1.18407 2.18218
9373 -3.55601 -4.92879
9375 -9.78057 -1.72896
9377 -10.24974 1.42084
9378 -6.24554 -5.87745
9379 -3.99003 3.84081
9380 -7.38370 -7.32899
9381 5.80307 -6.74324
9382 -11.00411 -4.00889
9383 -10.52117 4.85215
9385 -6.38784 -6.85049
9386 -11.38929 -1.48221
9387 -7.58332 -7.26092
9389 3.33531 -5.66455
