imageName longitude latitude altitude Omega Phi Kappa
S0626.JPG 101.01781640 14.51984663 184.02288665 0.59025087 2.86141574 -155.97296683
W0626.JPG 101.01781685 14.51984681 184.04264109 -39.41420986 -15.00718434 -160.14606308
X0626.JPG 101.01781598 14.51984644 184.04687528 43.71043274 18.98610010 16.33046301
A0627.JPG 101.01769193 14.52003760 184.05689928 21.93085849 -38.93645312 -59.39221797
D0627.JPG 101.01769230 14.52003674 184.05382617 -21.33321088 41.81220250 122.80395790
S0627.JPG 101.01769210 14.52003717 184.03336249 0.96577541 2.50493219 -156.52651416
W0627.JPG 101.01769255 14.52003735 184.05353196 -39.23903376 -14.92364774 -160.82154185
X0627.JPG 101.01769167 14.52003699 184.05694495 44.11402491 18.34790495 16.16180993
A0628.JPG 101.01756774 14.52022846 184.34961973 21.63915924 -38.55406215 -59.26467885
D0628.JPG 101.01756812 14.52022761 184.34692836 -22.00567691 42.02137443 123.25443792
S0628.JPG 101.01756792 14.52022804 184.32627694 0.58354794 2.82623587 -156.29630511
W0628.JPG 101.01756836 14.52022822 184.34604983 -39.50884025 -14.82632323 -160.42532055
X0628.JPG 101.01756749 14.52022785 184.35024850 43.75996563 18.73957791 16.10690344
A0629.JPG 101.01744258 14.52041849 184.44574534 20.91946776 -37.33000064 -59.38470075
D0629.JPG 101.01744296 14.52041764 184.44326093 -23.36772108 42.96814015 124.31453325
S0629.JPG 101.01744275 14.52041807 184.42253151 -0.08327905 4.00274173 -155.94479194
W0629.JPG 101.01744320 14.52041825 184.44108801 -39.89000863 -14.14969947 -159.36723120
X0629.JPG 101.01744233 14.52041788 184.44766812 43.30697347 19.83662495 15.52295888
A0630.JPG 101.01732078 14.52061065 184.28204768 21.56725916 -38.67381414 -60.50935491
D0630.JPG 101.01732114 14.52060979 184.27802262 -20.57807733 42.59563834 122.18079154
S0630.JPG 101.01732095 14.52061022 184.25804965 1.33736901 3.05704346 -157.24987953
W0630.JPG 101.01732140 14.52061039 184.27785967 -38.95283248 -14.03543657 -161.02268786
X0630.JPG 101.01732052 14.52061004 184.28196539 44.74968459 18.25450525 15.20911794
A0631.JPG 101.01719893 14.52080342 184.42974635 21.48134264 -39.15441173 -59.38066917
D0631.JPG 101.01719930 14.52080256 184.42757020 -21.66274889 41.64718755 122.61277796
S0631.JPG 101.01719911 14.52080299 184.40665097 0.51190429 2.29819614 -156.59619299
W0631.JPG 101.01719955 14.52080317 184.42683203 -39.74577446 -15.03651497 -161.01478364
X0631.JPG 101.01719868 14.52080281 184.43023294 43.62738220 18.14943645 16.25713988
A0632.JPG 101.01707816 14.52099532 184.40556272 22.02949457 -39.82376683 -58.33091686
D0632.JPG 101.01707854 14.52099447 184.40424495 -21.89248508 40.60393208 122.78046652
S0632.JPG 101.01707835 14.52099490 184.38288338 0.37603870 1.38019150 -156.08445205
W0632.JPG 101.01707879 14.52099508 184.40378661 -39.92178476 -16.06754542 -161.22576550
X0632.JPG 101.01707792 14.52099472 184.40576650 43.18326965 17.82620122 17.30845647
A0633.JPG 101.01695539 14.52118783 184.26044304 22.17347115 -39.48339838 -58.19633188
D0633.JPG 101.01695578 14.52118698 184.25882873 -22.10203947 40.77625714 123.19098551
S0633.JPG 101.01695558 14.52118741 184.23761890 0.42823939 1.65812870 -155.86225116
W0633.JPG 101.01695602 14.52118759 184.25831507 -39.76336900 -15.99890157 -160.86252938
X0633.JPG 101.01695515 14.52118722 184.26070316 43.24979555 18.18104483 17.28116774
A0634.JPG 101.01683260 14.52137940 184.29706598 20.90511707 -39.56227174 -59.14002057
