imageName, cameraIndex, cameraName, X_opt, Y_opt, Z_opt, X_gps, Y_gps, Z_gps, X_acc, Y_acc, Z_acc, Omega, Phi, Kappa, X_uncertainty, Y_uncertainty, Z_uncertainty, Omega_uncertainty, Phi_uncertainty, Kappa_uncertainty, inlierProb
X0624.JPG, 4, Camera_43.0_6000x4000 (RGB)(5), 717473.482369, 1606138.260088, 184.095565, 717473.594325, 1606136.446540, 186.512800, 5.000000, 5.000000, 10.000000, 42.560587, 17.964953, 18.621939, 0.025533, 0.026687, 0.020983, 0.007470, 0.006937, 0.007336, 1.000000
A0625.JPG, 1, Camera_43.0_6000x4000 (RGB)(2), 717459.984886, 1606159.332453, 183.959017, 717459.792201, 1606157.455730, 186.352700, 5.000000, 5.000000, 10.000000, 22.455430, -38.988109, -58.479798, 0.027899, 0.029866, 0.021044, 0.010397, 0.008028, 0.007692, 1.000000
D0625.JPG, 2, Camera_43.0_6000x4000 (RGB)(3), 717460.026797, 1606159.238822, 183.956252, 717459.792201, 1606157.455730, 186.352700, 5.000000, 5.000000, 10.000000, -21.804814, 41.284182, 123.440858, 0.027899, 0.029866, 0.021044, 0.010878, 0.007830, 0.008931, 1.000000
S0625.JPG, 0, Camera_MID_28.0_6000x4000 (RGB)(1), 717460.004926, 1606159.286134, 183.935629, 717459.792201, 1606157.455730, 186.352700, 5.000000, 5.000000, 10.000000, 0.890214, 2.199482, -155.883555, 0.027899, 0.029866, 0.021044, 0.009136, 0.009597, 0.002199, 1.000000
W0625.JPG, 3, Camera_43.0_6000x4000 (RGB)(4), 717460.052409, 1606159.306715, 183.956043, 717459.792201, 1606157.455730, 186.352700, 5.000000, 5.000000, 10.000000, -39.208046, -15.571354, -160.516743, 0.027899, 0.029866, 0.021044, 0.009388, 0.007386, 0.006494, 1.000000
X0625.JPG, 4, Camera_43.0_6000x4000 (RGB)(5), 717459.959125, 1606159.264874, 183.958976, 717459.792201, 1606157.455730, 186.352700, 5.000000, 5.000000, 10.000000, 43.838589, 18.563218, 16.876537, 0.027899, 0.029866, 0.021044, 0.009760, 0.006623, 0.007321, 1.000000
A0626.JPG, 1, Camera_43.0_6000x4000 (RGB)(2), 717446.364243, 1606180.322855, 184.046259, 717446.464878, 1606178.418212, 186.396400, 5.000000, 5.000000, 10.000000, 21.891154, -38.404589, -58.896248, 0.027603, 0.031388, 0.021105, 0.010458, 0.008467, 0.007841, 1.000000
D0626.JPG, 2, Camera_43.0_6000x4000 (RGB)(3), 717446.405990, 1606180.229150, 184.043507, 717446.464878, 1606178.418212, 186.396400, 5.000000, 5.000000, 10.000000, -22.263135, 41.929088, 123.673395, 0.027603, 0.031388, 0.021105, 0.011222, 0.008117, 0.009619, 1.000000
S0626.JPG, 0, Camera_MID_28.0_6000x4000 (RGB)(1), 717446.383948, 1606180.276385, 184.022887, 717446.464878, 1606178.418212, 186.396400, 5.000000, 5.000000, 10.000000, 0.590251, 2.861416, -155.972967, 0.027603, 0.031388, 0.021105, 0.009582, 0.009591, 0.002416, 1.000000
W0626.JPG, 3, Camera_43.0_6000x4000 (RGB)(4), 717446.431692, 1606180.297005, 184.042641, 717446.464878, 1606178.418212, 186.396400, 5.000000, 5.000000, 10.000000, -39.414210, -15.007184, -160.146063, 0.027603, 0.031388, 0.021105, 0.009832, 0.007431, 0.006416, 1.000000
