imageName X Y Z Omega Phi Kappa
X0635.JPG 717325.233039 1606369.853442 184.070545 44.263470 16.450358 13.586642
A0636.JPG 717311.905712 1606391.188910 183.826484 21.594229 -39.449128 -60.912523
D0636.JPG 717311.944446 1606391.093968 183.822409 -19.612542 42.224688 121.165883
S0636.JPG 717311.924078 1606391.142228 183.802453 1.645286 2.436429 -157.810833
W0636.JPG 717311.972319 1606391.160964 183.822866 -38.879866 -14.144796 -161.877344
X0636.JPG 717311.877699 1606391.122236 183.825782 45.024527 17.418601 15.229332
A0637.JPG 717298.471560 1606412.141775 184.289590 21.775021 -39.118893 -58.910316
D0637.JPG 717298.512883 1606412.047866 184.287492 -21.922295 41.422222 122.999384
S0637.JPG 717298.491308 1606412.095166 184.266532 0.494840 2.199844 -156.242812
W0637.JPG 717298.538920 1606412.115594 184.286796 -39.693020 -15.339635 -160.801224
X0637.JPG 717298.445376 1606412.074360 184.290034 43.517077 18.318717 16.599449
A0638.JPG 717284.840944 1606432.993419 183.967197 23.038255 -37.799008 -58.869014
D0638.JPG 717284.883063 1606432.899975 183.962195 -21.529798 42.347067 124.265052
S0638.JPG 717284.860620 1606432.947507 183.942724 1.707376 3.417780 -155.732507
W0638.JPG 717284.908464 1606432.967948 183.962423 -38.140206 -14.734617 -159.586110
X0638.JPG 717284.815388 1606432.925764 183.966727 44.912564 19.556166 16.112808
A0639.JPG 717271.005271 1606454.022505 183.916674 21.145861 -38.144667 -61.255574
D0639.JPG 717271.044280 1606453.927699 183.912095 -20.459252 43.379950 122.068439
S0639.JPG 717271.023268 1606453.975797 183.892417 1.401524 3.754181 -157.619179
W0639.JPG 717271.071889 1606453.994804 183.911644 -38.869455 -13.265257 -160.848281
X0639.JPG 717270.977516 1606453.955720 183.916882 45.040246 18.506099 14.421542
A0640.JPG 717289.800570 1606484.777618 184.234395 -34.609325 29.485290 142.361422
D0640.JPG 717289.729672 1606484.851740 184.231176 34.506043 -31.915919 -34.992473
S0640.JPG 717289.766175 1606484.814407 184.210781 -0.387453 -2.437454 43.739825
W0640.JPG 717289.728329 1606484.779188 184.231329 32.629643 27.152053 36.525005
X0640.JPG 717289.802158 1606484.849923 184.233993 -37.120263 -31.401582 -146.705073
A0641.JPG 717302.834812 1606463.030427 184.448345 -34.622669 29.869088 143.852497
D0641.JPG 717302.762786 1606463.103517 184.447369 35.287956 -30.568055 -34.882636
S0641.JPG 717302.799451 1606463.066991 184.425836 0.365804 -1.385828 44.588625
W0641.JPG 717302.762512 1606463.030957 184.446619 33.280942 28.495962 36.682767
X0641.JPG 717302.835331 1606463.102746 184.448839 -35.603071 -31.057426 -145.177083
A0642.JPG 717315.804261 1606441.649893 184.442753 -36.384682 28.877505 145.913593
D0642.JPG 717315.729676 1606441.720359 184.441139 35.413811 -29.196321 -33.123025
S0642.JPG 717315.767534 1606441.684878 184.419924 -0.340026 -1.149365 46.627054
W0642.JPG 717315.731981 1606441.647831 184.441335 31.641764 29.789041 38.506515
X0642.JPG 717315.802207 1606441.722186 184.442303 -35.250136 -32.046601 -143.067794
A0643.JPG 717329.009172 1606420.454487 184.082436 -36.202699 27.375854 145.970082
D0643.JPG 717328.933500 1606420.523743 184.079528 36.436833 -29.607486 -31.464226
S0643.JPG 717328.972359 1606420.488961 184.058975 -0.103301 -2.333807 47.551908
W0643.JPG 717328.936980 1606420.451262 184.079520 31.053027 29.263838 40.124338
X0643.JPG 717329.005954 1606420.526738 184.082195 -34.989599 -33.546916 -142.971946
A0644.JPG 717342.206929 1606399.259790 184.412208 -35.998664 27.297852 146.199364
D0644.JPG 717342.131000 1606399.328781 184.409748 36.822579 -29.436148 -31.309141
S0644.JPG 717342.169965 1606399.294254 184.388970 0.214498 -2.276620 47.762549
W0644.JPG 717342.134746 1606399.256315 184.409345 31.277663 29.421547 40.297163
X0644.JPG 717342.203445 1606399.332029 184.412360 -34.543866 -33.620155 -142.725347
A0645.JPG 717355.522992 1606378.109798 184.574839 -35.830429 27.147739 146.646472
D0645.JPG 717355.446568 1606378.178259 184.572974 37.340957 -29.099842 -31.011304
S0645.JPG 717355.485738 1606378.144147 184.551897 0.603124 -2.162057 48.172101
W0645.JPG 717355.450831 1606378.105825 184.572093 31.484748 29.730383 40.632837
X0645.JPG 717355.518992 1606378.182008 184.575468 -33.903213 -33.758470 -142.242400
A0646.JPG 717368.788164 1606357.074255 184.504650 -35.887293 28.061445 145.700116
D0646.JPG 717368.713199 1606357.144303 184.502516 36.214073 -29.627611 -32.299077
S0646.JPG 717368.751544 1606357.109188 184.481569 0.064381 -1.919889 46.954989
W0646.JPG 717368.715923 1606357.071791 184.502246 31.649352 29.306721 39.293350
X0646.JPG 717368.785697 1606357.146536 184.504669 -34.964530 -32.865898 -143.272796
A0647.JPG 717382.156696 1606335.842711 184.451015 -36.513143 27.364694 146.360942
D0647.JPG 717382.080670 1606335.911581 184.448209 36.370164 -29.279281 -31.333867
S0647.JPG 717382.119631 1606335.876946 184.427603 -0.222856 -2.137836 47.838834
W0647.JPG 717382.084511 1606335.839118 184.448354 30.840943 29.579761 40.289909
