x,y,z,sx,sy,sz
717367.52,1606412.80,8.99,0.2898,0.1523,0.8833
717526.37,1606100.08,2.81,0.1090,0.1350,0.1751
717710.45,1606367.22,13.64,0.0534,0.1365,0.4146
717580.58,1606323.61,3.76,0.0849,0.0541,0.1387
717564.59,1606161.96,5.45,0.2562,0.1005,0.9775
717547.77,1606134.19,8.42,0.2853,0.0791,0.7829
717734.78,1606340.62,13.68,0.0497,0.0192,0.1677
717704.20,1606309.25,19.73,0.0387,0.0471,0.2480
717558.57,1606312.72,3.82,0.0113,0.0111,0.0507
717725.39,1606379.83,16.77,0.1207,0.1351,0.4633
717677.62,1606289.98,6.64,0.0361,0.0800,0.2967
717538.98,1606380.37,10.76,0.0331,0.0598,0.2899
717484.08,1606346.04,23.50,0.1011,0.0176,0.2272
717560.60,1606340.00,17.40,0.0197,0.0199,0.2398
717551.24,1606258.51,9.14,0.0498,0.0302,0.1901
717844.86,1606206.74,25.07,0.2426,0.0801,0.7260
717718.55,1606346.81,15.11,0.0474,0.0283,0.2130
717735.79,1606384.16,19.63,0.0520,0.0207,0.1341
717535.64,1606152.01,15.21,0.1229,0.1463,0.7845
717432.57,1606344.90,18.86,0.0598,0.0874,0.3676
717663.65,1606166.18,14.05,0.0308,0.0210,0.1629
717808.99,1606270.68,26.61,0.1064,0.0805,0.3676
717781.86,1606240.70,20.41,0.0286,0.0184,0.2191
717716.06,1606419.25,16.28,0.0500,0.0812,0.2463
717728.13,1606354.61,16.60,0.0980,0.0350,0.3613
717619.45,1606326.46,11.14,0.2542,0.1487,0.6579
717722.01,1606414.47,18.59,0.2697,0.3477,1.1292
717634.46,1605943.04,5.76,0.6807,1.0834,1.1151
717574.81,1606154.31,10.59,0.1021,0.0566,0.2968
717538.47,1606272.15,11.07,0.0399,0.0449,0.1857
717741.14,1606349.40,16.07,0.0293,0.0353,0.1164
717578.94,1606198.53,17.22,0.0371,0.0259,0.1235
717600.41,1606213.10,5.30,0.0231,0.0292,0.1191
717683.29,1606300.05,5.41,0.0225,0.0293,0.1215
717624.50,1606152.66,9.38,0.0195,0.0207,0.1301
717677.52,1606368.31,6.41,0.0195,0.0387,0.1158
717682.45,1606326.48,14.74,0.0236,0.0279,0.1509
717665.09,1606272.35,17.47,0.0211,0.0333,0.1036
717689.38,1606264.34,6.60,0.0361,0.0761,0.1409
717758.75,1606341.95,24.52,0.0715,0.0618,0.2601
717343.92,1606437.59,15.00,0.0946,0.0401,0.2421
717459.68,1606459.93,12.95,0.0864,0.0211,0.2831
717621.35,1606214.23,15.86,0.0218,0.0191,0.1493
717749.25,1606314.18,19.37,0.0594,0.0354,0.2760
717594.80,1606194.94,17.55,0.0220,0.0395,0.2595
717652.40,1606224.57,18.21,0.2020,0.0551,0.6462
717559.23,1606173.17,10.39,0.0257,0.0134,0.1025
717808.63,1606275.98,31.78,0.0707,0.0623,0.2389
717530.05,1606155.17,16.67,0.0190,0.0182,0.0852
717624.27,1606195.35,16.84,0.0625,0.0625,0.3994
717629.59,1606282.92,16.37,0.1157,0.1706,0.4686
717610.55,1606186.18,16.36,0.0240,0.0213,0.1038
717504.75,1606091.77,2.57,0.0597,0.1259,0.1391
717518.14,1606301.84,3.55,0.2515,0.1704,0.4323
717621.36,1606259.42,5.58,0.0367,0.0535,0.2049
717593.32,1606171.30,15.54,0.0191,0.0474,0.1880
717516.19,1606232.99,9.52,0.0482,0.0769,0.4915
717729.10,1606395.00,19.99,0.0846,0.0559,0.2948
717449.67,1606262.96,12.90,0.2369,0.4599,0.5843
717448.59,1606258.59,12.74,0.3821,0.7030,0.8511
717731.38,1606355.33,15.09,0.1022,0.0320,0.3624
717612.59,1606156.52,16.16,0.0466,0.1592,0.6270
717453.62,1606261.02,9.55,0.1133,0.2286,0.2969
717600.83,1606165.25,9.03,0.0171,0.0159,0.0940
717448.06,1606264.41,16.68,0.3606,0.6855,0.7765
717438.15,1606277.14,16.49,0.1699,0.3124,0.3431
717604.05,1606378.78,4.19,0.2580,0.0611,0.5665
717627.42,1606315.35,13.95,0.1916,0.1586,0.5491
717736.97,1606377.70,16.12,0.1545,0.0487,0.4768
717694.67,1606404.92,16.85,0.0653,0.1846,0.7122
717438.71,1606264.86,14.94,0.2003,0.3414,0.3909
717765.20,1606343.41,24.70,0.0485,0.0394,0.1577
717449.44,1606257.96,11.73,0.1154,0.2158,0.2923
717511.95,1606253.61,11.48,0.0097,0.0099,0.0386
717484.95,1606213.94,20.70,0.0345,0.0291,0.1070
717488.88,1606234.08,20.64,0.0221,0.0133,0.0733
717530.41,1606252.84,15.15,0.0557,0.0542,0.6133
717576.82,1606110.12,4.76,0.0295,0.0508,0.2328
